2019-04-30 09:19:20.506 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.ConnTestCase], using SpringBootContextLoader
2019-04-30 09:20:20.420 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - More than one TaskScheduler bean exists within the context, and none is named 'taskScheduler'. Mark one of them as primary or name it 'taskScheduler' (possibly as an alias); or implement the SchedulingConfigurer interface and call ScheduledTaskRegistrar#setScheduler explicitly within the configureTasks() callback: [threadPoolTaskScheduler, messageBrokerTaskScheduler]
2019-04-30 09:20:20.431 [main] INFO  c.s.x.bmpos.tasks.bmpostasks.mapper.SaleTestCase - Started SaleTestCase in 4.708 seconds (JVM running for 5.695)
2019-04-30 09:20:20.434 [main] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 插件Map开始初始化！
2019-04-30 09:20:20.435 [main] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 插件Map:{1=Plugins(pid=1, category=插件, name=结算, active=1, unit=M, duration=5, start=2019-04-30 09:20:20, coin=ltc, className=pps_payout), 2=Plugins(pid=2, category=插件, name=日结, active=1, unit=M, duration=30, start=null, coin=ltc, className=IDailyService), 3=Plugins(pid=3, category=插件, name=支付, active=1, unit=M, duration=10, start=2019-04-30 09:20:20, coin=ltc, className=IPayOutService), 4=Plugins(pid=4, category=插件, name=数据统计, active=1, unit=M, duration=3, start=2019-04-30 09:20:20, coin=ltc, className=SummarizedData)}
2019-04-30 09:20:20.453 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.SaleTestCase.wallentIp
2019-04-30 09:20:20.624 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-04-30 09:20:20.800 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-04-30 09:20:20.853 [main] INFO  c.s.x.b.t.b.service.impl.SummarizedDataServiceImpl - 已结算的开始ID为:4688244
2019-04-30 09:20:20.853 [main] INFO  c.s.x.b.t.b.service.impl.SummarizedDataServiceImpl - 已结算的结束ID为:4688243
2019-04-30 09:20:20.853 [main] INFO  c.s.x.b.t.b.service.impl.SummarizedDataServiceImpl - 数据未更新,等待下次结算数据!!!
2019-04-30 09:20:20.859 [Thread-2] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Stopping...
2019-04-30 09:20:20.859 [Thread-2] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2019-04-30 09:20:20.859 [Thread-2] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Stopped.
2019-04-30 09:20:20.861 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'brokerChannelExecutor'
2019-04-30 09:20:20.861 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'threadPoolTaskScheduler'
