2019-04-29 11:21:44.136 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.SaleTestCase], using SpringBootContextLoader
2019-04-29 11:50:39.078 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'brokerChannelExecutor'
2019-04-29 11:50:42.150 [main] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Starting...
2019-04-29 11:50:42.153 [main] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2019-04-29 11:50:42.156 [main] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Started.
2019-04-29 11:50:42.183 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - More than one TaskScheduler bean exists within the context, and none is named 'taskScheduler'. Mark one of them as primary or name it 'taskScheduler' (possibly as an alias); or implement the SchedulingConfigurer interface and call ScheduledTaskRegistrar#setScheduler explicitly within the configureTasks() callback: [threadPoolTaskScheduler, messageBrokerTaskScheduler]
2019-04-29 11:50:42.239 [main] INFO  c.s.x.bmpos.tasks.bmpostasks.mapper.SaleTestCase - Started SaleTestCase in 10.743 seconds (JVM running for 15.418)
2019-04-29 11:50:42.242 [main] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 插件Map开始初始化！
2019-04-29 11:50:42.243 [main] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 插件Map:{1=Plugins(pid=1, category=插件, name=结算, active=1, unit=M, duration=5, start=2019-04-29 11:50:42, coin=ltc, className=pps_payout), 2=Plugins(pid=2, category=插件, name=日结, active=1, unit=M, duration=30, start=null, coin=ltc, className=IDailyService), 3=Plugins(pid=3, category=插件, name=支付, active=1, unit=M, duration=10, start=2019-04-29 11:50:42, coin=ltc, className=IPayOutService), 4=Plugins(pid=4, category=插件, name=数据统计, active=1, unit=M, duration=3, start=2019-04-29 11:50:42, coin=ltc, className=SummarizedData)}
2019-04-29 11:50:42.300 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.SaleTestCase.wallentIp
2019-04-29 11:50:43.786 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
